HTS CODE	DESCRIPTION	BASE DUTY RATE
6104.59.40.00	Containing 70 percent or more by weight of silk or silk waste (742)	0.90%
6104.69.40	Containing 70 percent or more by weight of silk or silk waste	0.90%
6105.90.40.00	Containing 70 percent or more by weight of silk or silk waste (738)	0.90%
6106.90.15.00	Containing 70 percent or more by weight of silk or silk waste (739)	0.90%
6107.19.10.00	Containing 70 percent or more by weight of silk or silk waste (752)	0.90%
6107.29.50.00	Containing 70 percent or more by weight of silk or silk waste (751)	0.90%
6110.90.10	Containing 70 percent or more by weight of silk or silk waste	0.90%
6111.90.70.00	Containing 70 percent or more by weight of silk or silk waste	0.90%
6114.90.10	Containing 70 percent or more by weight of silk or silk waste	0.90%
9022.90.40.00	Of X-ray tubes	0.90%
9902.17.80	"Fitness equipment designed for in-home use, each unit incorporating two independent treadmill decks with separately moving belts that rotate around a mechanical treadle and simultaneously move up and down during use, designed to allow progressive amounts of resistance and combine the functions of a treadmill, a stair climber and an elliptical machine (provided for in subheading 9506.91.00)"	0.90%
9902.17.81	"Fitness equipment, with pivoting handles and foot pedals that perform alternating movements which combine the motions of a stepper and an elliptical machine, driving simultaneously a radial fan and magnetic brake in the base, equipped with an electronic control console incapable of the wireless exchange of data, with non-backlit LCD display and presented with a heart-rate monitor chest strap (provided for in subheading 9506.91.00)"	0.90%
1302.14.01.00	Of ephedra	1%
1302.19.41	Other	1%
2008.19.15.00	Coconuts	1%
2909.11.00.00	Diethyl ether	1%
2918.29.30.00	Gallic acid	1%
6203.39.50.00	Containing 70 percent or more by weight of silk or silk waste (733)	1%
6204.19.40.00	Containing 70 percent or more by weight of silk or silk waste (744)	1%
6204.39.60.00	Containing 70 percent or more by weight of silk or silk waste (735)	1%
7403.11.00.00	Cathodes and sections of cathodes	1%
7403.12.00.00	Wire bars	1%
7403.13.00.00	Billets	1%
7403.19.00.00	Other	1%
7403.21.00.00	Copper-zinc base alloys (brass)	1%
7403.22.00.00	Copper-tin base alloys (bronze)	1%
7403.29.01	Other copper alloys	1%
7407.10.50	Bars and rods	1%
7408.11.30.00	With a maximum cross-sectional dimension over 9.5 mm	1%
7409.11.50	Of a thickness of less than 5 mm	1%
7409.19.50.00	Of a width of 500 mm or more	1%
7410.11.00.00	Of refined copper	1%
7410.12.00	Of copper alloys	1%
8415.10.60.00	Incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)	1%
8415.81.01	Incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)	1%
8418.29.10.00	"Absorption type, electrical"	1%
8450.20.00	"Machines, each of a dry linen capacity exceeding <il>10 kg</il>"	1%
8903.93.20	Outboard motorboats	1%
8903.93.90.00	Other	1%
8903.99.21	Outboard motorboats	1%
8903.99.91.00	Other	1%
9022.90.70.00	"Of smoke detectors, ionization type"	1%
9025.80.15.00	"Barometers, not combined with other instruments"	1%
9025.80.40.00	"Thermographs, barographs, hygrographs and other recording instruments"	1%
9902.01.58	Monopotassium phosphate (CAS No. 7778-77-0) (provided for in subheading 2835.24.00)	1.00%
9902.02.63	1-Hydroxy-2-methylpentan-3-one (CAS No. 27970-79-2) (provided for in subheading 2914.40.90)	1.00%
9902.06.45	"2,2-Dithiobis(8-fluoro-5-methoxy)-1,2,4-triazolo[1,5-c] pyrimidine (CAS No. 166524-74-9) (provided for in subheading 2933.59.95)"	1.00%
9902.09.23	"Product mixtures containing 3-mesityl-2-oxo-1-oxaspiro[4.4]non-3-en-4-yl 3,3-dimethylbutyrate (Spiromesifen) (CAS No. 283594-90-1) (provided for in subheading 3808.91.25)"	1.00%
9902.10.07	"Mixtures of sodium-2-chloro-6-[(4,6-dimethoxypyrimidin-2-yl)thio]benzoate (Pyrithiobac-sodium) (CAS No. 123343-16-8) and application adjuvants (provided for in subheading 3808.93.15)"	1.00%
9902.12.10	"Rectangular plastic block filled with a polymer based freezer gel, designed to attach to reusable food storage containers (provided for in 3926.90.99)"	1.00%
9902.13.96	"Protective active footwear for women, with outer soles and uppers of rubber or plastics (except footwear with waterproof molded bottoms, including bottoms comprising an outer sole and all or part of the upper and except footwear with insulation that provides protection against cold weather) whose height from the bottom of the outer sole to the top of the upper does not exceed 15.34 cm (provided for in subheading 6402.91.42), such footwear, if valued at $26/pr or higher, without openings in the sole or upper designed to vent moisture"	1.00%
9902.16.04	"Ring gears, with diameter 30 cm or more but not over 200 cm and height of 6 cm or more but not over 30 cm, the foregoing to be assembled onto the periphery of a flexplate or flywheel for a diesel engine ranging in cylinder capacity equal to or greater than 5,000 cc but not exceeding 95,000 cc (provided for in subheading 8483.90.50)"	1.00%
9902.16.46	"Electrothermic steam irons of a kind used for domestic purposes, each with a ceramic-coated cast aluminum sole plate (provided for in subheading 8516.40.40), the foregoing not capable of operating without power connected to mains"	1.00%
9902.17.59	"Golf club heads designed for clubs designated as 1-irons, 2-irons, 3-irons, 4-irons or 5-irons (provided for in subheading 9506.39.00)"	1.00%
9902.17.62	Golf club heads designed for clubs designated as 6-irons and 7-irons (provided for in subheading 9506.39.00)	1.00%
0410.10.00.00	Insects	1.10%
0410.90.00.00	Other	1.10%
0511.99.40	Other	1.10%
1008.40.00.00	Fonio (<i>Digitaria spp.</i>)	1.10%
1008.50.00	Quinoa (<i>Chenopodium quinoa</i>)	1.10%
1008.60.00.00	Triticale	1.10%
1008.90.01	Other cereals (including wild rice)	1.10%
1904.10.00	Prepared foods obtained by the swelling or roasting of cereals or cereal products	1.10%
2837.20.10.00	Potassium ferricyanide	1.10%
2839.11.00.00	Sodium metasilicates	1.10%
2839.19.00.00	Other	1.10%
3301.29.20.00	Of orris	1.10%
6108.19.10.00	Containing 70 percent or more by weight of silk or silk waste (752)	1.10%
6204.69.04	Containing 70 percent or more by weight of silk or silk waste	1.10%
6204.69.45	Containing 70 percent or more by weight of silk or silk waste	1.10%
6205.90.10.00	Containing 70 percent or more by weight of silk or silk waste (740)	1.10%
6207.29.10.00	Containing 70 percent or more by weight of silk or silk waste (751)	1.10%
6207.99.70	Containing 70 percent or more by weight of silk or silk waste	1.10%
6208.29.10.00	Containing 70 percent or more by weight of silk or silk waste (751)	1.10%
6208.99.30	Containing 70 percent or more by weight of silk or silk waste	1.10%
6213.90.05.00	Containing 70 percent or more by weight of silk or silk waste	1.10%
7003.20.00.00	Wired sheets	1.10%
7202.21.10.00	Containing by weight more than 3 percent of calcium	1.10%
9032.89.20.00	"Designed for use in a 6, 12 or 24 V system"	1.10%
9032.90.21.00	"Designed for use in a 6, 12 or 24 V system"	1.10%
1104.29.10.00	Of barley	1.20%
2836.20.00.00	Disodium carbonate	1.20%
6117.80.20.00	"Ties, bow ties and cravats (758)"	1.20%
6211.12.40.00	Containing 70 percent or more by weight of silk or silk waste (759)	1.20%
6211.49.03	Containing 70 percent or more by weight of silk or silk waste	1.20%
6211.49.50	Containing 70 percent or more by weight of silk or silk waste	1.20%
6214.10.10.00	Containing 70 percent or more by weight of silk or silk waste	1.20%
7806.00.03.00	"Lead bars, rods, profiles and wire"	1.20%
9027.50.10.00	Exposure meters	1.20%
9902.06.22	"Ethoxyquin (1,2-dihydro-6-ethoxy-2,2,4-trimethylquinoline) (CAS No. 91-53-2) (provided for in subheading 2933.49.10)"	1.20%
9902.15.74	"Table saws for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, each with blade measuring 25.4 cm (provided for in subheading 8465.91.00), such saws excluding (i) tilting arbor table saws, non-laser guided, each with a 25.4 cm blade and of a weight not exceeding 220 kg, and (ii) laser-guided tilting arbor table saws, each with 25.4 cm blade and detachable base with casters, weighing less than 31 kg"	1.20%
9902.16.41	"Parts of signaling equipment, each with pressed sealing on the flanges (provided for in subheading 8512.90.20)"	1.20%
9902.16.48	"Microwave ovens with integral range hoods, of a kind used for domestic purposes, each having oven capacity greater than 48 liters but not exceeding 49 liters, the foregoing having a glass turntable plate with a diameter greater than 30 cm but not exceeding 31 cm and a door with exterior metal handle (provided for in subheading 8516.50.00)"	1.20%
0712.90.10.00	Carrots	1.30%
1301.90.40.00	Turpentine gum (oleoresinous exudate from living trees)	1.30%
2007.99.50	Guava and mango	1.30%
2008.99.23.00	"Cashew apples, mameyes colorados, sapodillas, soursops and sweetsops"	1.30%
2818.10.20	"In grains, or ground, pulverized or refined"	1.30%
2836.40.20.00	Potassium hydrogencarbonate (Potassium bicarbonate)	1.30%
2907.29.10.00	Pyrogallic acid	1.30%
3206.49.30.00	Preparations based on zinc oxides	1.30%
7003.19.00.00	Other	1.30%
8421.19.00.00	Other	1.30%
8505.90.75.01	Other	1.30%
8514.31.90.00	Other	1.30%
8514.32.90.00	Other	1.30%
8514.39.90.00	Other	1.30%
8531.10.00	Burglar or fire alarms and similar apparatus	1.30%
8531.80.15.00	"Doorbells, chimes, buzzers and similar apparatus"	1.30%
9902.04.01	"4,4'-Oxydianiline (CAS No. 101-80-4) (provided for in subheading 2922.29.81)"	1.30%
9902.07.13	"3-[2,4-Dichloro-5-(1-methylethoxy)phenyl]-5-(1,1-dimethyl- ethyl)-1,3,4-oxadiazol-2(3H)-one (Oxadiazon) (CAS No. 19666-30-9) (provided for in subheading 2934.99.11)"	1.30%
9902.10.02	"Product mixtures containing ethyl 5,5-diphenyl-4H-1,2-oxazole-3-carboxylate (Isoxadifen-ethyl) (CAS No. 163520-33-0) and 2-{2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl} -1,3-cyclohexanedione (Tembotrione) (CAS No. 335104-84-2) (provided for in subheading 3808.93.15)"	1.30%
9902.10.42	Branched chain C24 mixed alkylbenzenes (CAS No. 68081-77-6) (provided for in subheading 3817.00.15)	1.30%
9902.11.92	Injection molded thermoplastic dental restorative product dispenser closures fitting containers with capacity less than or equal to 50 ml (provided for in subheading 3923.50.00)	1.30%
0501.00.00.00	"Human hair, unworked, whether or not washed or scoured; waste of human hair"	1.40%
0601.20.90.00	Other	1.40%
0602.90.30	With soil attached to roots	1.40%
0803.10.20.00	Dried	1.40%
1208.90.00.00	Other	1.40%
1214.10.00	Alfalfa (lucerne) meal and pellets	1.40%
1602.50.21	In airtight containers	1.40%
2007.99.15.00	Currant and other berry	1.40%
2007.99.70.00	Currant and berry	1.40%
2302.50.00.00	Of leguminous plants	1.40%
2303.10.00	Residues of starch manufacture and similar residues	1.40%
2308.00.10.00	Acorns and horse-chestnuts	1.40%
2308.00.98	Other	1.40%
2309.90.70.00	"Preparations, with a basis of vitamin B<sub>12</sub>, for supplementing animal feed"	1.40%
2309.90.95.00	Other	1.40%
2833.25.00.00	Of copper	1.40%
2833.29.10.00	Of cobalt	1.40%
2835.22.00.00	Of mono- or disodium	1.40%
2835.31.00.00	Sodium triphosphate (Sodium tripolyphosphate)	1.40%
3403.11.50.00	Other	1.40%
3706.10.30.00	Sound recordings on motion-picture film suitable for use in connection with motion-picture exhibits	1.40%
6208.19.50.00	Containing 70 percent of more by weight of silk or silk waste (752)	1.40%
7003.12.00.00	"Colored throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer"	1.40%
7202.11.10.00	Containing by weight more than 2 percent but not more than 4 percent of carbon	1.40%
7202.19.50.00	Containing by weight more than 1 percent but not more than 2 percent of carbon	1.40%
7411.21.10.00	Seamless	1.40%
7411.29.10.00	Seamless	1.40%
7415.33.10.00	Muntz or yellow metal bolts	1.40%
8415.20.00.00	"Of a kind used for persons, in motor vehicles"	1.40%
8415.83.00	Not incorporating a refrigerating unit	1.40%
8415.90.40.00	"Chassis, chassis bases and outer cabinets"	1.40%
8415.90.80	Other	1.40%
8450.11.00	Fully automatic machines	1.40%
8706.00.50.00	Other	1.40%
9013.10.30.00	Other	1.40%
9022.90.15.00	Radiation beam delivery units	1.40%
9022.90.95.00	Other	1.40%
9025.80.35.00	"Hygrometers and psychrometers, non-recording"	1.40%
9902.05.89	"3,6-Dichloro-2-pyridinecarboxylic acid (CAS No. 1702-17-6) (provided for in subheading 2933.39.25)"	1.40%
9902.07.31	"(2Z)-3-Isopropyl-2-[(2-methyl-2-propanyl)imino]-5-phenyl- 1,3,5-thiadiazinan-4-one (Buprofezin) (CAS No. 69327-76-0 or 953030-84-7) (provided for in subheading 2934.99.16)"	1.40%
9902.10.44	Monocarboxylic fatty acids derived from palm oil (provided for in subheading 3823.19.20)	1.40%
9902.11.66	Ion-exchange resin comprised of divinylbenzene co-polymerized with styrene and ethylstyrene (CAS No. 9052-95-3) in spherical beads with a mean particle size between 0.30 and 1.20 mm (provided for in subheading 3914.00.60)	1.40%
9902.14.20	"Footwear for women, with outer soles of rubber or plastics and uppers of leather, made on a base or platform of wood (provided for in subheading 6403.99.20)"	1.40%
9902.14.98	"Wire crates of iron or steel, designed for dogs, the foregoing that can be folded down, less than or equal to 0.76 m in length (provided for in subheading 7323.99.90)"	1.40%
9902.14.99	"Wire crates of iron or steel, designed for dogs, the foregoing that can be folded down, greater than 0.76 but less than 1.37 m in length (provided for in subheading 7323.99.90)"	1.40%
2810.00.00.00	Oxides of boron; boric acids	1.50%
2827.31.00.00	Of magnesium	1.50%
2832.10.00.00	Sodium sulfites	1.50%
2832.30.10.00	Sodium thiosulfate	1.50%
2835.29.20.00	Of triammonium	1.50%
2841.50.10.00	Potassium dichromate	1.50%
2938.10.00.00	Rutoside (Rutin) and its derivatives	1.50%
3201.90.10.00	"Tannic acid, containing by weight 50 percent or more of tannic acid"	1.50%
3206.41.00.00	Ultramarine and preparations based thereon	1.50%
4302.19.30	Not dyed	1.50%
6117.10.40.00	Containing 70 percent or more by weight of silk or silk waste	1.50%
7202.11.50.00	Containing by weight more than 4 percent of carbon	1.50%
7202.21.50.00	Other	1.50%
7315.89.10.00	Not over <il>8 mm</il> in diameter	1.50%
7410.21.60.00	Other	1.50%
7410.22.00.00	Of copper alloys	1.50%
7411.10.10	Seamless	1.50%
7604.21.00	Hollow profiles	1.50%
7901.11.00.00	Containing by weight 99.99 percent or more of zinc	1.50%
7901.12.50.00	Other	1.50%
8903.21.00	Of a length not exceeding 7.5 m	1.50%
8903.22.00	Of a length exceeding 7.5 m but not exceeding 24 m	1.50%
8903.23.00	Of a length exceeding 24 m	1.50%
8903.31.00	Of a length not exceeding 7.5 m	1.50%
8903.32.00	Of a length exceeding 7.5 m but not exceeding 24 m	1.50%
8903.33.00	Of a length exceeding 24 m	1.50%
9902.03.84	"4,4'-Diamino-2,2'-stilbenedisulfonic acid (CAS No. 81-11-8) (provided for in subheading 2921.59.20)"	1.50%
9902.04.40	N-[3-(1-Methylethoxy)phenyl]-2-(trifluoromethyl)benzamide (CAS No. 66332-96-5) (provided for in subheading 2924.29.47)	1.50%
9902.05.37	Ammonium (2RS)-2-amino-4-(methylphosphinato)butyric acid (Glufosinate Ammonium) (CAS No. 77182-82-2) (provided for in subheading 2931.39.00)	1.50%
9902.14.96	"Handles of stainless steel, the foregoing comprising parts of cooking ware (provided for in subheading 7323.93.00)"	1.50%
9902.15.18	Tweezers (provided for in subheading 8203.20.20)	1.50%
9902.15.41	Used compression-ignition internal combustion piston engines to be installed in vehicles of subheading 8701.20 or heading 8704 (provided for in subheading 8408.20.20)	1.50%
0807.19.50.00	"If entered during the period from December 1, in any year, to the following May 31, inclusive"	1.60%
2827.39.65.00	Of zinc	1.60%
2833.29.45.00	Of zinc	1.60%
2833.30.00.00	Alums	1.60%
4113.90.60.00	Fancy	1.60%
4114.20.70.00	Other	1.60%
6115.99.40.00	Containing 70 percent or more by weight of silk or silk waste	1.60%
7407.29.50.00	Other bars and rods	1.60%
8207.90.15.00	"Files and rasps, including rotary files and rasps, and parts thereof"	1.60%
8504.23.00	"Having a power handling capacity exceeding <il>10,000 kVA</il>"	1.60%
8504.31.60.00	Having a power handling capacity of <il>1 kVA</il>	1.60%
8504.33.00	Having a power handling capacity exceeding <il>16 kVA</il> but not exceeding <il>500 kVA</il>	1.60%
8504.34.00.00	Having a power handling capacity exceeding <il>500 kVA</il>	1.60%
8515.31.00.00	Fully or partly automatic	1.60%
8515.39.00	Other	1.60%
8515.90.20.00	Of welding machines and apparatus	1.60%
